X,Y,OBJECTID,C_ORD,NIV6,ARRO,QUA,IRIS,NUM,LET,TYP_VOIE,LIB_VOIE,LIBACT,SIT,CODACT,SURF,CC_ID,CC_NIV,TYPE
652007.386901855,6861936.88812256,2,3,2,1,1,751010102,2,,BD,PALAIS,Kiosque à journaux,R,CE104,1,,,K
651702.859924316,6862064.08050537,7,10,2,1,1,751010102,27,,PL,DAUPHINE,Librairie,R,CE101,1,,,C
651725.849487305,6862006.67608643,9,12,2,1,1,751010102,54,,QU,ORFEVRES,Galerie d'art,R,CE302,1,,,C
651701.570678711,6862039.29870605,11,14,2,1,1,751010102,66,,QU,ORFEVRES,Galerie d'art,R,CE302,1,,,C
651681.850097656,6862072.8850708,14,17,2,1,1,751010102,15,,PL,PONT NEUF,Bijouterie fantaisie - Accessoire de mode,A,CB304,1,,,C
651751.59387207,6862063.91687012,16,19,2,1,1,751010102,18,,PL,DAUPHINE,Galerie d'art,R,CE302,1,,,C
651718.540710449,6862072.79431152,21,25,2,1,1,751010102,26,,PL,DAUPHINE,Papeterie - Fournitures de bureau,R,CE102,1,,,C
651710.778320312,6862074.72967529,22,26,2,1,1,751010102,26,,PL,DAUPHINE,Chaussures Homme,R,CB202,1,,,C
651725.155090332,6862087.4375,28,34,2,1,1,751010102,37,,QU,HORLOGE,Vente de monnaies et médailles,R,CE301,1,,,C
651699.313720703,6862092.74291992,30,36,2,1,1,751010102,41,,QU,HORLOGE,Antiquités,A,CD401,1,,,C
651655.829528809,6862298.17449951,39,45,2,1,1,751010103,20,,QU,LOUVRE,Bimbeloterie - Articles souvenirs,R,CE504,1,,,C
651644.556518555,6862301.12011719,40,46,2,1,1,751010103,22,,QU,LOUVRE,Bimbeloterie - Articles souvenirs,R,CE504,1,,,C
651648.42010498,6862300.0848999,41,47,2,1,1,751010103,22,,QU,LOUVRE,Bimbeloterie - Articles souvenirs,R,CE504,1,,,C
651621.850891113,6862308.65087891,44,50,2,1,1,751010103,28,,QU,LOUVRE,Bimbeloterie - Articles souvenirs,R,CE504,1,,,C
651604.291320801,6862313.77130127,45,51,2,1,1,751010103,30,,QU,LOUVRE,Bimbeloterie - Articles souvenirs,R,CE504,1,,,C
651646.817077637,6862494.80670166,54,63,2,1,1,751010103,8,,RUE,AMIRAL DE COLIGNY,Kiosque à journaux,R,CE104,1,,,K
651680.846313477,6862457.58111572,56,65,2,1,1,751010103,3,,RUE,PERRAULT,Montres,R,CB303,1,,,C
651690.417724609,6862481.80529785,59,69,2,1,1,751010103,87,,RUE,RIVOLI,Vente et fabrication de tenues de mariées,R,CB103,1,,,C
651681.756103516,6862486.14611816,60,70,2,1,1,751010103,89,,RUE,RIVOLI,Prêt-à-porter Femme,R,CB104,1,,,C
651661.433898926,6862496.37072754,62,72,2,1,1,751010103,91,,RUE,RIVOLI,Prêt-à-porter Homme,R,CB105,1,,,C
651802.364318848,6862283.19567871,72,82,2,1,1,751010101,2,B,RUE,PONT NEUF,Vente de meubles et multispécialistes,A,CD101,3,,,C
