,numero_uai,appellation_officielle,denomination_principale,patronyme_uai,secteur_public_prive_libe,adresse_uai,lieu_dit_uai,boite_postale_uai,code_postal_uai,localite_acheminement_uai,libelle_commune,coordonnee_x,coordonnee_y,epsg,latitude,longitude,appariement,localisation,nature_uai,nature_uai_libe,etat_etablissement,etat_etablissement_libe,code_departement,code_region,code_academie,code_commune,libelle_departement,libelle_region,libelle_academie,position,secteur_prive_code_type_contrat,secteur_prive_libelle_type_contrat,code_ministere,libelle_ministere,date_ouverture
376,0750708M,Lycée Polyvalent Jean Drouant - Lycée des métiers de l'hôtellerie et de la restauration,LPO LYCEE DES METIERS,JEAN DROUANT,Public,20 rue Médéric,,,75017,PARIS,Paris 17e  Arrondissement,648937.1,6864750.6,EPSG:2154,48.88074819207674,2.3037395015256936,Parfaite,Numéro de rue,306,LYCEE POLYVALENT,1.0,OUVERT,75,11,1,75117,Paris,Ile-de-France,Paris,"48.8807481921,2.30373950153",99.0,SANS OBJET,6,MINISTERE DE L'EDUCATION NATIONALE,1965-05-01
377,0751708Z,Lycée polyvalent Louis Armand,LYCEE POLYVALENT,LOUIS ARMAND,Public,321 rue Lecourbe,,,75015,PARIS,Paris 15e  Arrondissement,647538.5,6859927.8,EPSG:2154,48.83726519286379,2.285265350394968,Parfaite,Numéro de rue,306,LYCEE POLYVALENT,1.0,OUVERT,75,11,1,75115,Paris,Ile-de-France,Paris,"48.8372651929,2.28526535039",99.0,SANS OBJET,6,MINISTERE DE L'EDUCATION NATIONALE,1970-03-19
378,0752895P,Collège privé Charles Péguy,COLLEGE PRIVE,CHARLES PEGUY,Privé,54 avenue de la République,,,75011,PARIS,Paris 11e  Arrondissement,654193.2,6862946.0,EPSG:2154,48.86491513325458,2.3755996752769777,Parfaite,Numéro de rue,340,COLLEGE,1.0,OUVERT,75,11,1,75111,Paris,Ile-de-France,Paris,"48.8649151333,2.37559967528",30.0,CONTRAT D'ASSOCIATION TOUTES CLASSES,6,MINISTERE DE L'EDUCATION NATIONALE,1980-09-15
379,0752896R,Collège privé Notre-Dame de France,COLLEGE PRIVE,NOTRE-DAME DE FRANCE,Privé,63  RUE DE LA SANTE,,,75013,PARIS,Paris 13e  Arrondissement,651651.8,6859424.0,EPSG:2154,48.83305619465897,2.3413594253204946,Parfaite,Numéro de rue,340,COLLEGE,1.0,OUVERT,75,11,1,75113,Paris,Ile-de-France,Paris,"48.8330561947,2.34135942532",30.0,CONTRAT D'ASSOCIATION TOUTES CLASSES,6,MINISTERE DE L'EDUCATION NATIONALE,1980-07-31
380,0753146M,Prépasup (Ecole secondaire privée),ECOLE 2D DEGRE GENERAL PRIVEE,PREPASUP,Privé,16 bis rue DE L'ESTRAPADE,,,75005,PARIS,Paris  5e  Arrondissement,652012.2,6860747.8,EPSG:2154,48.844988118929926,2.346119543594602,Parfaite,Numéro de rue,302,LYCEE D ENSEIGNEMENT GENERAL,1.0,OUVERT,75,11,1,75105,Paris,Ile-de-France,Paris,"48.8449881189,2.34611954359",10.0,HORS CONTRAT,6,MINISTERE DE L'EDUCATION NATIONALE,1983-09-01
381,0753825A,Lycée privé Morvan,LYCEE PRIVE POUR HANDICAPES,MORVAN,Privé,68  RUE DE LA CHAUSSEE D'ANTIN,,,75009,PARIS,Paris  9e  Arrondissement,651011.0,6864202.3,EPSG:2154,48.875978601754504,2.332079713742913,Parfaite,Numéro de rue,312,ECOLE SECONDAIRE SPECIALISEE (2 D CYCLE),1.0,OUVERT,75,11,1,75109,Paris,Ile-de-France,Paris,"48.8759786018,2.33207971374",30.0,CONTRAT D'ASSOCIATION TOUTES CLASSES,6,MINISTERE DE L'EDUCATION NATIONALE,1968-02-28
382,0754016H,Lycée polyvalent privé L'Initiative,LYCEE POLYVALENT PRIVE,L'INITIATIVE,Privé,24 rue Bouret,,,75019,PARIS,Paris 19e  Arrondissement,654134.5,6864788.6,EPSG:2154,48.88148107516921,2.3746006328156133,Parfaite,Numéro de rue,306,LYCEE POLYVALENT,1.0,OUVERT,75,11,1,75119,Paris,Ile-de-France,Paris,"48.8814810752,2.37460063282",30.0,CONTRAT D'ASSOCIATION TOUTES CLASSES,6,MINISTERE DE L'EDUCATION NATIONALE,1968-03-15
383,0754917M,Section d'enseignement professionnel du Lycée polyvalent privé Albert de Mun,SECTION ENSEIGT PROFES.PRIVEE,LPO PRIVE ALBERT DE MUN,Privé,2  RUE D'OLIVET,,,75007,PARIS,Paris  7e  Arrondissement,650078.6,6861290.5,EPSG:2154,48.84972169363925,2.3197099335652727,Parfaite,Numéro de rue,334,SECTION D ENSEIGNEMENT PROFESSIONNEL,1.0,OUVERT,75,11,1,75107,Paris,Ile-de-France,Paris,"48.8497216936,2.31970993357",30.0,CONTRAT D'ASSOCIATION TOUTES CLASSES,6,MINISTERE DE L'EDUCATION NATIONALE,1994-09-01
384,0755352K,lycée general privé N'R Hatorah,LYCEE GENERAL PRIVE,N'R HATORAH,Privé,3  RUE HENRI TUROT,,,75019,PARIS,Paris 19e  Arrondissement,653976.9,6864256.7,EPSG:2154,48.87668659109247,2.372509401151093,Parfaite,Numéro de rue,302,LYCEE D ENSEIGNEMENT GENERAL,1.0,OUVERT,75,11,1,75119,Paris,Ile-de-France,Paris,"48.8766865911,2.37250940115",30.0,CONTRAT D'ASSOCIATION TOUTES CLASSES,6,MINISTERE DE L'EDUCATION NATIONALE,2007-09-01
385,0755779Z,Collège La rose blanche,COLLEGE,LA ROSE BLANCHE,Public,34 rue Marie-Georges Picquart,,,75017,PARIS,Paris 17e  Arrondissement,649406.8,6865699.4,EPSG:2154,48.88931747736954,2.310030656050152,Correcte,Numéro de rue,340,COLLEGE,1.0,OUVERT,75,11,1,75117,Paris,Ile-de-France,Paris,"48.8893174774,2.31003065605",99.0,SANS OBJET,6,MINISTERE DE L'EDUCATION NATIONALE,2015-09-01
