Nombre_delits_crimes_2019,piece,Vetements_accessoires,arrondissement,services,loisirs,Commerces_automobile,Mobilier_electromenager,1946-1970,1946-1970,1971-1990,1971-1990,Apres 1990,Apres 1990,Avant 1946,Avant 1946,code_grand_quartier,meublé,non meublé,polar_coords1,polar_coords2,ref
17723,2,70,13,78,37,10,23,0,0,0,0,1,1,0,0,7511350,0,1,0.044398323971411253,-0.884053139014644,21.0
24474,4,33,18,35,7,8,12,0,0,1,1,0,0,0,0,7511872,0,1,0.037108820682343335,1.0066341479674799,15.0
15513,3,154,11,86,67,32,67,0,0,1,1,0,0,0,0,7511143,0,1,0.03666785677769519,-0.13293929222981885,19.7
15726,2,357,1,63,53,5,51,0,0,0,0,0,0,1,1,7510102,1,0,0.0,0.0,27.9
15167,1,187,10,106,33,21,29,0,0,1,1,0,0,0,0,7511037,0,1,0.021670423696255475,0.9836087971066798,26.8
13759,3,20,12,22,34,4,7,0,0,1,1,0,0,0,0,7511247,0,1,0.04888113263636414,-0.5854181039009496,18.5
8477,2,221,6,45,126,0,59,0,0,1,1,0,0,0,0,7510624,0,1,0.012815162302587524,0.5459862981518804,25.3
5428,1,26,4,22,48,2,8,0,0,0,0,0,0,1,1,7510416,0,1,0.013013554980597416,-0.8362034742714815,32.7
8477,4,42,5,62,49,4,26,0,0,1,1,0,0,0,0,7510517,0,1,0.017639857076606928,-0.937066607169339,22.9
20898,3,127,8,89,66,11,54,0,0,0,0,1,1,0,0,7510832,0,1,0.03342214876446949,-0.5112052722868463,24.1
19422,4,124,15,61,28,16,55,0,0,0,0,0,0,1,1,7511560,1,0,0.06997947052887823,0.33759331165368633,25.5
8477,4,204,6,77,43,2,39,1,1,0,0,0,0,0,0,7510622,1,0,0.01757250420777975,1.0487246508711732,25.9
15513,2,63,11,62,35,32,45,0,0,1,1,0,0,0,0,7511142,1,0,0.03038028622527556,-0.008902182159552767,25.2
8477,3,221,6,45,126,0,59,0,0,0,0,0,0,1,1,7510624,0,1,0.012815162302587524,0.5459862981518804,27.2
8378,2,80,3,27,56,8,17,1,1,0,0,0,0,0,0,7510309,0,1,0.012944494651200658,0.3382798917020086,22.8
14628,3,88,9,65,106,7,34,0,0,0,0,0,0,1,1,7510933,0,1,0.021109145373455734,-1.0119346640805658,22.8
18770,2,82,17,70,23,17,28,0,0,1,1,0,0,0,0,7511768,1,0,0.040306042425190564,-0.9058307868075594,25.9
18770,4,152,17,70,40,29,41,0,0,0,0,1,1,0,0,7511767,0,1,0.04246158300548295,-0.6927070568004665,23.5
17723,2,16,13,35,13,9,13,0,0,0,0,0,0,1,1,7511349,1,0,0.03150370160897329,-0.872503783119703,27.8
24474,3,294,18,196,134,21,141,0,0,1,1,0,0,0,0,7511870,0,1,0.029657441569164104,1.5372174893205752,20.7
13879,4,66,14,71,31,20,35,1,1,0,0,0,0,0,0,7511456,1,0,0.04180597292850479,0.8268882377719562,21.7
24474,3,51,18,52,12,5,87,1,1,0,0,0,0,0,0,7511871,1,0,0.03254836608365798,1.2195821586003106,21.4
18770,1,82,17,70,23,17,28,0,0,0,0,0,0,1,1,7511768,0,1,0.040306042425190564,-0.9058307868075594,28.1
7169,4,17,7,25,18,2,31,0,0,1,1,0,0,0,0,7510726,0,1,0.029053008834889205,0.15409345577556788,24.5
15513,1,118,11,68,65,23,64,0,0,1,1,0,0,0,0,7511144,0,1,0.04212937941788979,-0.2272299232755855,26.6
15167,1,187,10,106,33,21,29,0,0,0,0,1,1,0,0,7511037,0,1,0.021670423696255475,0.9836087971066798,27.9
13879,3,51,14,45,30,11,21,0,0,0,0,1,1,0,0,7511453,0,1,0.027714581248481984,1.1084022146821828,23.6
15167,3,78,10,75,22,3,23,0,0,0,0,1,1,0,0,7511038,1,0,0.013131521851184724,0.9829598026967977,26.7
17723,4,16,13,35,13,9,13,0,0,0,0,1,1,0,0,7511349,0,1,0.03150370160897329,-0.872503783119703,23.5
24474,4,294,18,196,134,21,141,0,0,0,0,0,0,1,1,7511870,0,1,0.029657441569164104,1.5372174893205752,20.9
19422,2,118,15,124,43,31,67,1,1,0,0,0,0,0,0,7511557,1,0,0.05432869012675574,0.5318041662032758,24.3
19422,3,118,15,124,43,31,67,0,0,1,1,0,0,0,0,7511557,1,0,0.05432869012675574,0.5318041662032758,25.0
24474,4,33,18,35,7,8,12,1,1,0,0,0,0,0,0,7511872,1,0,0.037108820682343335,1.0066341479674799,16.5
