Nombre_delits_crimes_2019,piece,Vetements_accessoires,arrondissement,services,loisirs,Commerces_automobile,Mobilier_electromenager,1946-1970,1946-1970,1971-1990,1971-1990,Apres 1990,Apres 1990,Avant 1946,Avant 1946,code_grand_quartier,meublé,non meublé,polar_coords1,polar_coords2,ref
18654,4,20,20,38,7,7,11,0,0,0,0,1,1,0,0,7512078,1,0,0.06244752275613116,0.13249728900426244,18.5
5428,4,132,4,45,54,2,22,1,1,0,0,0,0,0,0,7510413,1,0,0.00768792664171321,-0.5690648694063986,25.9
15726,4,249,1,35,20,2,16,0,0,0,0,1,1,0,0,7510104,1,0,0.0168768644190784,-0.3040032939384008,29.6
16265,3,78,16,90,21,50,51,1,1,0,0,0,0,0,0,7511661,1,0,0.0865918881942693,0.13610926400500145,25.7
16265,3,107,16,63,13,27,26,0,0,0,0,0,0,1,1,7511664,0,1,0.05324800542923952,-0.13107961343520277,24.2
18654,4,20,20,38,7,7,11,1,1,0,0,0,0,0,0,7512078,1,0,0.06244752275613116,0.13249728900426244,16.5
15167,2,187,10,106,33,21,29,0,0,1,1,0,0,0,0,7511037,0,1,0.021670423696255475,0.9836087971066798,22.4
14628,4,88,9,65,106,7,34,1,1,0,0,0,0,0,0,7510933,0,1,0.021109145373455734,-1.0119346640805658,21.5
19422,3,145,15,90,63,22,110,0,0,1,1,0,0,0,0,7511559,1,0,0.05491731707144338,0.20881656332917942,24.6
7169,2,122,7,69,42,7,41,1,1,0,0,0,0,0,0,7510728,1,0,0.04456615975459604,0.10506839732061903,30.1
14628,2,118,9,53,44,8,29,0,0,1,1,0,0,0,0,7510936,0,1,0.01791869658560452,1.564172471948611,22.4
18770,4,152,17,70,40,29,41,1,1,0,0,0,0,0,0,7511767,1,0,0.04246158300548295,-0.6927070568004665,23.3
18654,1,66,20,65,24,15,22,0,0,0,0,0,0,1,1,7512079,0,1,0.050465554000563836,0.03369118633025363,25.2
5428,2,311,4,68,48,3,63,0,0,0,0,1,1,0,0,7510414,0,1,0.015032934622597622,-0.4327165179589617,25.4
8477,3,42,5,62,49,4,26,0,0,0,0,0,0,1,1,7510517,1,0,0.017639857076606928,-0.937066607169339,28.3
17723,2,16,13,35,13,9,13,0,0,1,1,0,0,0,0,7511349,1,0,0.03150370160897329,-0.872503783119703,25.2
13879,2,171,14,91,34,17,42,0,0,0,0,0,0,1,1,7511455,1,0,0.03950313015860371,1.0853829037600564,27.8
8378,1,192,3,27,48,3,25,0,0,1,1,0,0,0,0,7510310,0,1,0.017866988762024145,0.11782336177145036,30.3
8477,1,221,6,45,126,0,59,0,0,0,0,1,1,0,0,7510624,0,1,0.012815162302587524,0.5459862981518804,32.1
15513,3,138,11,82,62,15,61,0,0,0,0,0,0,1,1,7511141,1,0,0.029222881096545122,0.17696716953112207,26.0
7169,4,17,7,25,18,2,31,1,1,0,0,0,0,0,0,7510726,1,0,0.029053008834889205,0.15409345577556788,27.0
20898,3,198,8,34,3,7,6,1,1,0,0,0,0,0,0,7510829,0,1,0.03834791115570099,-0.16501578657760615,21.7
7169,1,122,7,69,42,7,41,0,0,1,1,0,0,0,0,7510728,1,0,0.04456615975459604,0.10506839732061903,35.9
8378,4,192,3,27,48,3,25,0,0,1,1,0,0,0,0,7510310,0,1,0.017866988762024145,0.11782336177145036,22.9
8477,1,51,5,66,35,9,25,0,0,1,1,0,0,0,0,7510519,1,0,0.02012214487785656,1.520101444919393,34.2
19422,4,118,15,124,43,31,67,0,0,0,0,1,1,0,0,7511557,1,0,0.05432869012675574,0.5318041662032758,27.2
