Nombre_delits_crimes_2019,piece,Vetements_accessoires,arrondissement,services,loisirs,Commerces_automobile,Mobilier_electromenager,1946-1970,1971-1990,Apres 1990,Avant 1946,code_grand_quartier,meublé,non meublé,polar_coords1,polar_coords2,ref
7169,3,13,7,21,4,5,8,0,0,0,1,7510727,1,0,0.34508929216998335,0.6083840307322051,29.8
18654,4,92,20,88,19,25,35,0,0,0,1,7512080,0,1,0.5848702075627431,0.46491885488043166,20.1
15513,3,63,11,62,35,32,45,0,0,0,1,7511142,1,0,0.29441571397175076,0.4935877775645978,26.3
13759,1,37,12,42,23,15,18,0,0,0,1,7511245,0,1,0.9999999999999999,0.4193182984173185,25.2
8477,3,204,6,77,43,2,39,0,0,0,1,7510622,1,0,0.17029534660212514,0.8340644063270486,30.7
5428,3,26,4,22,48,2,8,0,0,1,0,7510416,0,1,0.12611451559451095,0.22725872263515867,24.5
15167,4,124,10,78,35,11,25,1,0,0,0,7511039,0,1,0.1889657567384707,0.6683194883408748,21.6
19422,3,124,15,61,28,16,55,0,0,1,0,7511560,0,1,0.6781718785119147,0.6051333756247833,24.6
5350,4,156,2,31,29,2,26,0,0,0,1,7510208,1,0,0.07108821097162595,0.7402390611187946,28.4
13759,1,86,12,94,73,26,33,0,0,1,0,7511246,0,1,0.9872715205309921,0.40498057656400793,23.8
15726,2,131,1,34,49,0,28,0,0,1,0,7510103,0,1,0.08818479837262626,0.4039910983778825,26.7
17723,2,16,13,35,13,9,13,1,0,0,0,7511349,1,0,0.30530274577341426,0.21557274191522813,24.2
8378,1,193,3,33,120,5,24,0,0,1,0,7510311,1,0,0.17685333453877608,0.44551772471092893,32.1
5350,4,102,2,32,15,1,9,0,0,0,1,7510205,0,1,0.13466345115834658,0.3245390636630766,25.6
5350,4,93,2,30,12,3,16,0,1,0,0,7510207,0,1,0.05850789312443561,0.001663746445630332,22.9
20898,1,324,8,53,80,2,62,1,0,0,0,7510831,0,1,0.2616548516952385,0.3895631917171873,31.9
19856,2,29,19,21,10,8,11,0,1,0,0,7511974,0,1,0.4968879397938482,0.7135808865378325,17.9
14628,4,226,9,75,21,0,20,0,0,1,0,7510934,0,1,0.1624829940537827,0.26367789636238326,26.2
14628,2,88,9,65,106,7,34,0,0,1,0,7510933,1,0,0.2045689780660741,0.17068644098913016,28.3
13879,4,171,14,91,34,17,42,0,0,1,0,7511455,0,1,0.3828253026822436,0.84586561821968,23.5
15167,3,124,10,78,35,11,25,1,0,0,0,7511039,0,1,0.1889657567384707,0.6683194883408748,18.9
7169,2,194,7,56,84,0,217,0,1,0,0,7510725,0,1,0.2032922327251897,0.6126856099453033,26.7
5350,1,45,2,23,55,4,11,0,1,0,0,7510206,0,1,0.08617831187581519,0.20040689003769152,30.3
8378,4,193,3,33,120,5,24,0,1,0,0,7510311,1,0,0.17685333453877608,0.44551772471092893,25.9
14628,2,98,9,44,88,4,48,1,0,0,0,7510935,1,0,0.10912907269249285,0.04887912982717585,26.8
13879,4,171,14,91,34,17,42,1,0,0,0,7511455,1,0,0.3828253026822436,0.84586561821968,23.3
13879,2,171,14,91,34,17,42,0,0,0,1,7511455,1,0,0.3828253026822436,0.84586561821968,27.8
18770,3,152,17,91,21,27,38,0,0,1,0,7511766,0,1,0.47844896543585286,0.33618191327895774,24.4
5428,3,311,4,68,48,3,63,0,0,0,1,7510414,1,0,0.14568434764516724,0.3571513032169506,28.3
8477,2,83,6,47,137,1,21,0,1,0,0,7510621,1,0,0.08623733058717085,0.8301830270736872,28.6
15167,1,78,10,75,22,3,23,1,0,0,0,7511038,1,0,0.12725773393588655,0.8128930507050272,31.6
8378,4,65,3,20,62,5,9,0,0,0,1,7510312,1,0,0.09787717563465705,0.5038856630908805,28.4
20898,4,198,8,34,3,7,6,0,1,0,0,7510829,0,1,0.3716300616298281,0.44333088914593055,22.2
5350,1,156,2,31,29,2,26,0,0,0,1,7510208,0,1,0.07108821097162595,0.7402390611187946,31.1
18654,1,20,20,38,7,7,11,0,0,0,1,7512078,1,0,0.605179683353913,0.5391078170975306,29.4
15726,1,131,1,34,49,0,28,1,0,0,0,7510103,1,0,0.08818479837262626,0.4039910983778825,36.0
5350,3,102,2,32,15,1,9,0,0,0,1,7510205,0,1,0.13466345115834658,0.3245390636630766,27.2
13759,4,37,12,42,23,15,18,0,0,0,1,7511245,0,1,0.9999999999999999,0.4193182984173185,20.1
8477,2,42,5,62,49,4,26,1,0,0,0,7510517,0,1,0.17094806405240714,0.19478834803519435,22.8
5428,4,132,4,45,54,2,22,0,0,0,1,7510413,1,0,0.07450378822630425,0.31325734592663623,28.9
17723,2,13,13,21,13,4,6,0,0,1,0,7511352,1,0,0.27489626255488664,0.022663481514400563,28.3
5350,3,93,2,30,12,3,16,1,0,0,0,7510207,1,0,0.05850789312443561,0.001663746445630332,24.3
14628,1,98,9,44,88,4,48,0,1,0,0,7510935,0,1,0.10912907269249285,0.04887912982717585,26.8
16265,4,229,16,90,14,4,59,0,1,0,0,7511662,1,0,0.8940519423039075,0.49217257612986753,28.1
18770,1,152,17,91,21,27,38,0,1,0,0,7511766,0,1,0.47844896543585286,0.33618191327895774,28.1
18770,1,152,17,70,40,29,41,1,0,0,0,7511767,1,0,0.4114957042942287,0.2734538218272014,27.6
19422,4,118,15,124,43,31,67,0,1,0,0,7511557,0,1,0.5264999800927226,0.6676547252738214,21.7
